filas columnas iteraciones
21 21 100
71 71 1225
121 121 3600
171 171 7225
221 221 12100
271 271 18225
321 321 25600
371 371 34225
421 421 44100
471 471 55225
521 521 67600
571 571 81225
621 621 96100
671 671 112225
721 721 129600
771 771 148225
821 821 168100
871 871 189225
921 921 211600
971 971 235225
