repeticiones filas area tiempo iteraciones
4 1971 3884841 0.1481 970225
5 1971 3884841 0.1756 970225
1 2021 4084441 0.1845 1020100
2 2021 4084441 0.2266 1020100
3 2021 4084441 0.2073 1020100
4 2021 4084441 0.2007 1020100
5 2021 4084441 0.1922 1020100
1 2071 4289041 0.1973 1071225
2 2071 4289041 0.1717 1071225
3 2071 4289041 0.2252 1071225
4 2071 4289041 0.2091 1071225
5 2071 4289041 0.2193 1071225
1 2121 4498641 0.2406 1123600
2 2121 4498641 0.2154 1123600
3 2121 4498641 0.2074 1123600
4 2121 4498641 0.2120 1123600
5 2121 4498641 0.2076 1123600
1 2171 4713241 0.2297 1177225
2 2171 4713241 0.2007 1177225
3 2171 4713241 0.2684 1177225
4 2171 4713241 0.2349 1177225
5 2171 4713241 0.2248 1177225
1 2221 4932841 0.2227 1232100
2 2221 4932841 0.2646 1232100
3 2221 4932841 0.2199 1232100
4 2221 4932841 0.2274 1232100
5 2221 4932841 0.2611 1232100
1 2271 5157441 0.2783 1288225
2 2271 5157441 0.1973 1288225
3 2271 5157441 0.2421 1288225
4 2271 5157441 0.2259 1288225
5 2271 5157441 0.2528 1288225
1 2321 5387041 0.2900 1345600
2 2321 5387041 0.2659 1345600
3 2321 5387041 0.2057 1345600
4 2321 5387041 0.2340 1345600
5 2321 5387041 0.2418 1345600
1 2371 5621641 0.2790 1404225
2 2371 5621641 0.2570 1404225
3 2371 5621641 0.2704 1404225
4 2371 5621641 0.2128 1404225
5 2371 5621641 0.2231 1404225
1 2421 5861241 0.2931 1464100
2 2421 5861241 0.2670 1464100
3 2421 5861241 0.2660 1464100
4 2421 5861241 0.3451 1464100
5 2421 5861241 0.2201 1464100
1 2471 6105841 0.2305 1525225
2 2471 6105841 0.2689 1525225
3 2471 6105841 0.2871 1525225
4 2471 6105841 0.2252 1525225
5 2471 6105841 0.3667 1525225
1 2521 6355441 0.2441 1587600
2 2521 6355441 0.3025 1587600
3 2521 6355441 0.2864 1587600
4 2521 6355441 0.2524 1587600
5 2521 6355441 0.2559 1587600
1 2571 6610041 0.2645 1651225
2 2571 6610041 0.2894 1651225
3 2571 6610041 0.2740 1651225
4 2571 6610041 0.2810 1651225
5 2571 6610041 0.2919 1651225
1 2621 6869641 0.3394 1716100
