filas area tiempo iteraciones
8921 79584241 3.8143 39782743
8971 80478841 3.8627 40230009
9021 81378441 3.8943 40679677
9071 82283041 3.9329 41132013
9121 83192641 4.0400 41586731
9171 84107241 4.0247 42043969
9221 85026841 4.0700 42503721
9271 85951441 4.1429 42965977
9321 86881041 4.1646 43430691
9371 87815641 4.2175 43897849
9421 88755241 4.2597 44367677
9471 89699841 4.3232 44839943
9521 90649441 4.3316 45314633
9571 91604041 4.4510 45791883
9621 92563641 4.4457 46271675
9671 93528241 4.4929 46753935
9721 94497841 4.5345 47238673
9771 95472441 4.5975 47725947
9821 96452041 4.6528 48215735
9871 97436641 4.6879 48707857
9921 98426241 4.7614 49202665
9971 99420841 4.8810 49699865
