repeticiones filas area tiempo iteraciones
1 1971 3884841 0.2570 1940437
2 1971 3884841 0.2790 1940437
3 1971 3884841 0.2680 1940427
4 1971 3884841 0.2800 1940427
5 1971 3884841 0.2690 1940427
1 2021 4084441 0.2730 2040171
2 2021 4084441 0.3800 2040171
3 2021 4084441 0.3350 2040179
4 2021 4084441 0.3510 2040179
5 2021 4084441 0.2950 2040179
1 2071 4289041 0.2960 2142415
2 2071 4289041 0.3100 2142415
3 2071 4289041 0.2900 2142423
4 2071 4289041 0.2930 2142423
5 2071 4289041 0.3170 2142423
1 2121 4498641 0.3040 2247179
2 2121 4498641 0.3720 2247179
3 2121 4498641 0.3630 2247177
4 2121 4498641 0.3600 2247177
5 2121 4498641 0.3280 2247183
1 2171 4713241 0.3500 2354435
2 2171 4713241 0.3240 2354435
3 2171 4713241 0.3220 2354421
4 2171 4713241 0.3490 2354421
5 2171 4713241 0.3210 2354421
1 2221 4932841 0.3360 2464173
2 2221 4932841 0.4090 2464173
3 2221 4932841 0.3800 2464169
4 2221 4932841 0.3470 2464169
5 2221 4932841 0.4090 2464169
1 2271 5157441 0.3720 2576407
2 2271 5157441 0.3420 2576411
3 2271 5157441 0.3620 2576411
4 2271 5157441 0.3620 2576431
5 2271 5157441 0.3640 2576431
1 2321 5387041 0.3680 2691163
2 2321 5387041 0.3740 2691163
3 2321 5387041 0.3710 2691183
4 2321 5387041 0.3640 2691183
5 2321 5387041 0.3770 2691159
1 2371 5621641 0.3780 2808415
2 2371 5621641 0.4190 2808415
3 2371 5621641 0.3840 2808427
4 2371 5621641 0.3930 2808427
5 2371 5621641 0.3810 2808401
1 2421 5861241 0.4160 2928187
2 2421 5861241 0.4070 2928165
3 2421 5861241 0.4300 2928165
4 2421 5861241 0.3900 2928173
5 2421 5861241 0.4220 2928173
1 2471 6105841 0.4210 3050415
2 2471 6105841 0.4200 3050415
3 2471 6105841 0.4110 3050413
4 2471 6105841 0.4550 3050413
5 2471 6105841 0.4220 3050397
1 2521 6355441 0.4700 3175177
2 2521 6355441 0.4330 3175141
3 2521 6355441 0.5170 3175175
4 2521 6355441 0.4760 3175175
5 2521 6355441 0.5080 3175173
1 2571 6610041 0.5180 3302415
2 2571 6610041 0.4750 3302431
3 2571 6610041 0.4690 3302421
4 2571 6610041 0.4830 3302421
5 2571 6610041 0.5290 3302407
1 2621 6869641 0.6470 3432163
2 2621 6869641 0.5620 3432161
3 2621 6869641 0.5570 3432165
4 2621 6869641 0.5370 3432165
5 2621 6869641 0.5300 3432153
1 2671 7134241 0.5720 3564409
2 2671 7134241 0.6050 3564409
3 2671 7134241 0.5840 3564389
4 2671 7134241 0.5860 3564425
5 2671 7134241 0.5450 3564425
1 2721 7403841 0.5520 3699161
2 2721 7403841 0.5660 3699179
3 2721 7403841 0.5780 3699179
4 2721 7403841 0.5970 3699169
5 2721 7403841 0.5740 3699169
1 2771 7678441 0.5760 3836433
2 2771 7678441 0.5280 3836409
3 2771 7678441 0.5370 3836429
4 2771 7678441 0.5570 3836429
5 2771 7678441 0.5160 3836389
1 2821 7958041 0.5510 3976167
2 2821 7958041 0.5440 3976167
3 2821 7958041 0.5920 3976155
4 2821 7958041 0.7010 3976161
5 2821 7958041 0.6730 3976161
1 2871 8242641 0.7220 4118405
2 2871 8242641 0.6330 4118413
3 2871 8242641 0.6420 4118403
4 2871 8242641 0.6750 4118413
5 2871 8242641 0.5870 4118413
1 2921 8532241 0.7080 4263149
2 2921 8532241 0.7790 4263159
3 2921 8532241 0.6330 4263163
4 2921 8532241 0.6020 4263163
5 2921 8532241 0.7130 4263171
1 2971 8826841 0.6370 4410395
2 2971 8826841 0.6340 4410407
3 2971 8826841 0.6220 4410393
4 2971 8826841 0.6050 4410393
5 2971 8826841 0.6310 4410411
1 3021 9126441 0.6400 4560135
2 3021 9126441 0.6390 4560135
3 3021 9126441 0.6230 4560139
4 3021 9126441 0.6350 4560121
5 3021 9126441 0.6420 4560149
1 3071 9431041 0.6510 4712409
2 3071 9431041 0.6710 4712407
3 3071 9431041 0.6450 4712397
4 3071 9431041 0.6670 4712403
5 3071 9431041 0.6740 4712403
1 3121 9740641 0.6600 4867149
2 3121 9740641 0.6800 4867151
3 3121 9740641 0.6760 4867143
4 3121 9740641 0.6970 4867157
5 3121 9740641 0.6890 4867157
1 3171 10055241 0.7020 5024407
2 3171 10055241 0.7190 5024383
3 3171 10055241 0.6950 5024389
4 3171 10055241 0.6930 5024385
5 3171 10055241 0.6900 5024385
1 3221 10374841 0.7310 5184145
2 3221 10374841 0.7320 5184123
3 3221 10374841 0.7330 5184147
4 3221 10374841 0.7330 5184141
5 3221 10374841 0.8490 5184153
1 3271 10699441 0.8260 5346393
2 3271 10699441 0.7940 5346389
3 3271 10699441 0.7700 5346403
4 3271 10699441 0.7430 5346403
5 3271 10699441 0.8440 5346383
